Date,TwoEngine_70_30,Engine1_Carry,Engine2_Directional,SP500_SPY,NASDAQ_QQQ,60_40_SPY_AGG,BTC_Overlay_30pct
2018-08-06,956478.1652807229,990164.2430257801,878586.6477960693,1117599.0074201846,1185519.0816871235,1065416.1813733787,1102547.853919331
2018-08-07,954539.486525556,987240.4724917924,878704.0174058175,1121289.2094907875,1189838.7693990194,1066763.2120880461,1093197.8413794178
2018-08-08,957693.9409863354,991844.69480397,878821.4026948677,1120818.7800753592,1191278.6653029846,1066494.6800500946,1071576.3504705448
2018-08-09,960420.4465119086,995821.8106246239,878938.8036653143,1119287.141593735,1190558.664933969,1066224.9983795153,1085055.3809542344
2018-08-10,959920.994533922,995024.9946221092,879056.2203192523,1111787.8007266652,1181461.5839756515,1062863.920223863,1066149.8788785655
2018-08-13,958292.60389907,992437.2060951568,879408.5644029672,1107625.6211112086,1180152.8354889313,1060716.7841069014,1072289.3457827899
2018-08-14,958991.614522989,993414.5535172815,879526.0438118248,1114693.4377284124,1187548.2498791262,1064378.5485225,1067390.8284952133
2018-08-15,959167.9584304858,993618.6405884301,879643.5389146522,1106369.482357349,1173018.5627584944,1060210.9358089115,1073110.7213983033
2018-08-16,959586.987480927,994181.8669243355,879761.0497135461,1115321.507105342,1176880.2304336648,1065597.1896891638,1074548.604060054
2018-08-17,957853.9308538553,991862.055766278,879254.6787888096,1119247.697948372,1177142.1059318888,1068088.428791835,1087162.5522048264
2018-08-20,957291.895618942,994764.5542583672,871540.6662077786,1121642.788789578,1176094.603938993,1070302.7395538604,1073969.7978785383
2018-08-21,958268.8744255439,995953.1664283817,872075.6693686071,1124273.5991633106,1180414.501319022,1071447.4942915204,1083274.9816550463
2018-08-22,958509.0690518987,996296.683233708,872102.4592538362,1123606.220760968,1184995.6451928753,1071428.055201902,1077764.3883475158
2018-08-23,961367.5802277179,1000462.4240119337,872263.4777720369,1122114.2951646068,1183294.0834588192,1070333.1781752177,1085885.134840383
2018-08-24,960516.1103868885,999432.6283901668,871783.2610002334,1128867.4376485832,1194289.4996940938,1074679.991487757,1095212.9708008682
